Feature Name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,,
Lincoln County Confederate Monument,No specific honoree,Lincolnton,Lincoln,GA,South,Monument,Monument,Uknown,,,Live,,
Stewart County Confederate Monument,No specific honoree,Lumpkin,Stewart,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1908,,Live,,
Jefferson Davis Parish,Jefferson Davis,Jennings,Jefferson Davis,LA,South,County/Municipality,County/Municipality,Uknown,1912,,Live,,
Hood Drive,John Bell Hood,Virginia Beach,Virginia Beach City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Princess Anne County Confederate Heroes,No specific honoree,Virginia Beach,Virginia Beach City,VA,South,Monument,Monument,Confederate veterans,1905,,Live,,
Confederate Monument,No specific honoree,Warm Springs,Bath,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1922,,Live,,
Confederate Monument,No specific honoree,Washington,Rappahannock,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1900,,Live,,
Davis Road,Jefferson Davis,Waynesboro,Waynesboro City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Pickett Road,George Pickett,Waynesboro,Waynesboro City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Avenue,Robert E. Lee,Waynesboro,Waynesboro City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
William Barksdale Road,William Barksdale,Williamsburg,Williamsburg City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Soldiers Monument,No specific honoree,Winchester,Frederick,VA,South,Monument,Monument,Uknown,1916,,Live,,
Jubal Early Drive,Jubal Anderson Early,Winchester,Frederick,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Home Where Jefferson Davis Died,Jefferson Davis,New Orleans,Orleans,LA,South,Monument,Monument,Uknown,1930,,Live,,
Lee Circle,Robert E. Lee,New Orleans,Orleans,LA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Polk Street,Leonidas Polk,New Orleans,Orleans,LA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Boulevard,Robert E. Lee,New Orleans,Orleans,LA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Slidell Street,Joseph Shelby,New Orleans,Orleans,LA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Memorial,No specific honoree,Old Pleasant Hill,Sabine,LA,South,Monument,Monument,United Daughters of the Confederacy,,,Live,,
Confederate Flag Display,No specific honoree,Ocala,Marion,FL,South,Flag,Government Office Grounds,Uknown,,,Live,,
Stonewall Jackson Middle School,Thomas Jonathan Stonewall Jackson,Orlando,Orange,FL,South,School,Schools,Uknown,1965,,Live,,
Stonewall Jackson Road,Thomas Jonathan Stonewall Jackson,Orlando,Orange,FL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Palatka,Putnam,FL,South,Monument,Courthouse Grounds,Putnam County Government,1956,,Live,,
Confederate Monument,No specific honoree,Pensacola,Escambia,FL,South,Monument,Monument,Ladies Confederate Memorial Association,1891,,Live,,
Lee Square,Robert E. Lee,Pensacola,Escambia,FL,South,Park,Parks/Trails,Uknown,1889,,Live,,
Confederate Monument,No specific honoree,Perry,Taylor,FL,South,Monument,Monument,Sons of Confederate Veterans,,,Live,,
Jeff Davis Road,Jefferson Davis,Thomaston,Upson,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Women Fountain (Women of the Sixties),No specific honoree,Thomson,McDuffie,GA,South,Monument,Monument,United Daughters of the Confederacy,1913,,Live,,
McDuffie and Columbia Counties Confederate Monument,No specific honoree,Thomson,McDuffie,GA,South,Monument,Monument,Ladies Memorial Association of Thomason,1896,,Live,,
Tift County Confederate Memorial,No specific honoree,Tifton,Tift,GA,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
Stephens County,Alexander Stephens,Toccoa,Stephens,GA,South,County/Municipality,County/Municipality,Uknown,1905,,Live,,
Stephens County Confederate Monument,No specific honoree,Toccoa,Stephens,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1922,,Live,,
Confederate Reunion Memorial,No specific honoree,Union Point,Greene,GA,South,Monument,Monument,Uknown,,,Live,,
Confederate Wayside Home Monument,No specific honoree,Union Point,Greene,GA,South,Monument,Monument,Works Progress Administration,1936,,Live,,
Lowndes County Confederate Monument,No specific honoree,Valdosta,Lowndes,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,,
Dooly County Confederate Monument,No specific honoree,Vienna,Dooly,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Dooly County veterans,1908,,Live,,
Fort Rucker,Edmund Rucker,Fort Rucker,Dale,AL,South,Military Base,Buildings,U.S. Army,1942,,Live,,
Emma Sansom Monument,Nathan Bedford Forrest,Gadsden,Etowah,AL,South,Monument,Monument,City of Gadsden,1907,,Live,,
Turkey Town Monument,No specific honoree,Gadsden,Etowah,AL,South,Monument,Monument,Sons of Confederate Veterans,1992,,Live,,
Robert E. Lee Drive,Robert E. Lee,Gardendale,Jefferson,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Greensboro,Hale,AL,South,Monument,Courthouse Grounds,Ladies Memorial Association,1904,,Live,,
Hale County,Stephen F. Hale,Greensboro,Hale,AL,South,County/Municipality,County/Municipality,Uknown,1867,,Live,,
Butler County Confederate Monument,No specific honoree,Greenville,Butler,AL,South,Monument,Monument,United Daughters of the Confederacy,1903,,Live,,
Confederate Park,No specific honoree,Greenville,Butler,AL,South,Park,Parks/Trails,United Daughters of the Confederacy; City of Greenville,1897,,Live,,
Confederate Veterans Bicentennial Memorial,No specific honoree,Hamilton,Marion,AL,South,Monument,Monument,Judge James F. Shotts Senior, Colonel U.S.A.R. Retired 1952,1977,,Live,
The Soldier Dead of Lowndes,No specific honoree,Hayneville,Lowndes,AL,South,Monument,Monument,United Daughters of the Confederacy,,,Live,,
Confederate Monument,No specific honoree,Manning,Clarendon,SC,South,Monument,Courthouse Grounds,Uknown,1914,,Live,,
To the Dead and Living Confederate Veterans,No specific honoree,Marion,Marion,SC,South,Monument,Monument,Citizens of Marion County,1903,,Live,,
Anderson Lane,Richard Heron Anderson,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Beauregard Drive,Pierre Gustave Toutant-Beauregard,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Bragg Drive,Braxton Bragg,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Breckinridge Lane,John C. Breckinridge,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Drive,No specific honoree,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Forrest Drive,Nathan Bedford Forrest,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hill Drive,A.P. Hill,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hood Drive,John Bell Hood,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Johnson Drive,Joseph Eggleston Johnston,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Drive,Robert E. Lee,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Pickett Drive,George Pickett,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Berkeley County Confederate Monument,No specific honoree,Moncks Corner,Berkeley,SC,South,Monument,Monument,United Daughters of the Confederacy; Sons of Confederate Veterans,2011,,Live,,
Jefferson Davis Road,Jefferson Davis,Mountville,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Newberry Confederate Monument,No specific honoree,Newberry,Newberry,SC,South,Monument,Monument,Uknown,1880,,Live,,
Town of North,John F. North,North,Orangeburg,SC,South,City,County/Municipality,Uknown,1891,,Live,,
Beauregard Street,Pierre Gustave Toutant-Beauregard,Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Flag and Monument,No specific honoree,Orangeburg,Orangeburg,SC,South,Monument,Monument,Sons of Confederate Veterans,2001,,Live,,
Confederate Monument,No specific honoree,Orangeburg,Orangeburg,SC,South,Monument,Monument,Orangeburg Confederate Monument Association,1893,,Live,,
Wilcox's Alabama Brigade,Cadmus M. Wilcox,Mechanicsville,Hanover,VA,South,Monument,Monument,Sons of Confederate Veterans,1999,,Live,,
John Mosby Highway,John Singleton Mosby,Middleburg,Loudoun,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Monterey,Highland,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1918,,Live,,
Westmoreland County Confederate Monument,No specific honoree,Montross,Westmoreland,VA,South,Monument,Courthouse Grounds,Ladies Memorial Association,1876,,Live,,
Lee Highway,Robert E. Lee,Natural Bridge,Rockbridge,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Drive,James Ewell Brown Jeb Stuart,Natural Bridge Station,Rockbridge,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Drive,Robert E. Lee,Natural Bridge Station,Rockbridge,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,New Castle,Craig,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1912,,Live,,
Confederate Monument,No specific honoree,New Kent,New Kent,VA,South,Monument,Monument,Uknown,1934,,Live,,
Confederate Street,No specific honoree,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Albertville,Marshall,AL,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1996,,Live,,
Confederate Heroes Monument,No specific honoree,Alexander City,Tallapoosa,AL,South,Monument,Monument,United Daughters of the Confederacy,1923,,Live,,
Major John Pelham Monument,John Pelham,Anniston,Calhoun,AL,South,Monument,Monument,Dr. Clarence J. Owens,1905,,Live,,
Confederate Monument,No specific honoree,Ashville,St. Clair,AL,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1923,,Live,,
Confederate Soldier Monument,No specific honoree,Athens,Limestone,AL,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Live,,
The Auburn Guards Review Monument,No specific honoree,Auburn,Lee,AL,South,Monument,Monument,United Daughters of the Confederacy,1914,,Live,,
Baldwin County Seal,No specific honoree,Bay Minette,Baldwin,AL,South,Seal,Flags,Uknown,,,Live,,
City of Beauregard,Pierre Gustave Toutant-Beauregard,Beauregard,Lee,AL,South,City,County/Municipality,Uknown,,,Live,,
CSS Neuse Confederate Ironclad Gunboat Monument,No specific honoree,Kinston,Lenoir,NC,South,Monument,Monument,Uknown,,,Live,,
Robert E Lee Road,Robert E. Lee,Houston,Harris,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert Lee Road,Robert E. Lee,Houston,Harris,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Spirit of The Confederacy,No specific honoree,Houston,Harris,TX,South,Monument,Monument,United Daughters of the Confederacy,1908,,Live,,
Jefferson Davis Road,Jefferson Davis,Greensboro,Greene,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hamilton Confederate Monument,No specific honoree,Hamilton,Harris,GA,South,Monument,Monument,Uknown,1910,,Live,,
Confederate Monument,No specific honoree,Hartwell,Hart,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1908,,Live,,
Confederate Monument,No specific honoree,Hawkinsville,Pulaski,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1908,,Live,,
Jefferson Davis Memorial,Jefferson Davis,Hazelhurst,Jeff Davis,GA,South,Monument,Monument,Sons of Confederate Veterans,,,Live,,
Jeff Davis County,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,County/Municipality,County/Municipality,Uknown,1905,,Live,,
Jeff Davis Elementary School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,,
Jeff Davis High School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,,
Jeff Davis Middle School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,,
Jeff Davis Primary School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,,
East Beauregard Elementary School,Pierre Gustave Toutant-Beauregard,DeRidder,Beauregard,LA,South,School,Schools,Uknown,1962,,Live,,
East Beauregard High School,Pierre Gustave Toutant-Beauregard,DeRidder,Beauregard,LA,South,School,Schools,Uknown,1962,,Live,,
Fort Butler Memorial,Matthew Calbraith Butler,Donaldsonville,Ascension,LA,South,Monument,Monument,United Daughters of the Confederacy,1999,,Live,,
Fort Polk,Leonidas Polk,Fort Polk,Vernon,LA,South,Military Base,Buildings,Uknown,1941,,Live,,
Confederate Monument,No specific honoree,Franklin,St. Mary,LA,South,Monument,Courthouse Grounds,Citizens of St. Mary Parish,1913,,Live,,
Beauregard Drive,Pierre Gustave Toutant-Beauregard,Gretna,Jefferson,LA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Gretna,Jefferson,LA,South,Monument,Monument,United Daughters of the Confederacy; City of Gretna,,,Live,,
Confederate Monument,No specific honoree,Homer,Claiborne,LA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1940,,Live,,
Jefferson Davis Street,Jefferson Davis,Houma,Terrebonne,LA,South,Highway / Roadway,Roads,Uknown,,,Live,,
City of Kershaw,Joseph B. Kershaw,Kershaw,Lancaster,SC,South,City,County/Municipality,Uknown,1888,,Live,,
Confederate Soldier, Williamsburg County,No specific honoree,Kingstree,Williamsburg,SC,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,
Jackson Street,Thomas Jonathan Stonewall Jackson,Kingstree,Williamsburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Longstreet St,James Longstreet,Kingstree,Williamsburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Beauregard Street,Pierre Gustave Toutant-Beauregard,Lake City,Florence,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Avenue,No specific honoree,Lancaster,Lancaster,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hood Street,John Bell Hood,Lancaster,Lancaster,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Our Confederate Soldiers,No specific honoree,Lancaster,Lancaster,SC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Live,,
Laurens Confederate Monument,No specific honoree,Laurens,Laurens,SC,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
Lexington Confederate Monument,No specific honoree,Lexington,Lexington,SC,South,Monument,Courthouse Grounds,Women of Lexington County,1886,,Live,,
Jeff Davis Lane,Jefferson Davis,Sardis,Henderson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Savannah,Hardin,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1995,,Live,,
Confederate Monument,No specific honoree,Selmer,McNairy,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1994,,Live,,
DeKalb County Confederate Monument,No specific honoree,Smithville,DeKalb,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1996,,Live,,
General Barksdale Drive,William Barksdale,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Featherstone [sic] Drive,Winfield S. Featherston,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Forrest Drive,Nathan Bedford Forrest,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Palmer Drive,Joseph B. Palmer,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Drive,James Ewell Brown Jeb Stuart,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Deshler Career Technical Center,James Deshler,Tuscumbia,Colbert,AL,South,School,Schools,Uknown,,,Live,,
Deshler High School,James Deshler,Tuscumbia,Colbert,AL,South,School,Schools,City of Tuscumbia,1950,,Live,,
Deshler Middle School,James Deshler,Tuscumbia,Colbert,AL,South,School,Schools,Uknown,,,Live,,
Joe Wheeler Drive,Joseph Wheeler,Tuscumbia,Colbert,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Old Lee Highway,Robert E. Lee,Tuscumbia,Colbert,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Tuskegee Confederate Monument,No specific honoree,Tuskegee,Macon,AL,South,Monument,Monument,United Daughters of the Confederacy,1906,,Live,,
Bullock County,Edward C. Bullock,Union Springs,Bullock,AL,South,County/Municipality,County/Municipality,Uknown,1866,,Live,,
City of Wheeler,Joseph Wheeler,Wheeler,Lawrence,AL,South,City,County/Municipality,Uknown,,,Live,,
Arkadelphia Confederate Monument,No specific honoree,Arkadelphia,Clark,AR,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,,
Batesville Confederate Monument,No specific honoree,Batesville,Independence,AR,South,Monument,Monument,United Daughters of the Confederacy; United Confederate Veterans,1907,,Live,,
Early Street,Jubal Anderson Early,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Highway,Robert E. Lee,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Street,Robert E. Lee,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Street,Thomas Jonathan Stonewall Jackson,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stuart Street,James Ewell Brown Jeb Stuart,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Soldier Monument,No specific honoree,Newport News,Newport News City,VA,South,Monument,Monument,Uknown,1909,,Live,,
Lake Maury,Matthew Fontaine Maury,Newport News,Newport News,VA,South,Body of Water,Parks/Trails,Uknown,1931,,Live,,
Lake Maury Natural Area,Matthew Fontaine Maury,Newport News,Newport News,VA,South,Park,Parks/Trails,Uknown,,,Live,,
Confederate Monument,No specific honoree,Nottoway,Nottoway,VA,South,Monument,Courthouse Grounds,Ladies Memorial Association,1893,,Live,,
Early Drive,Jubal Anderson Early,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Ewell Drive,Richard Stoddert Ewell,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
George Anderson Drive,George Anderson,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
George Davis Statue,George Davis,Wilmington,New Hanover,NC,South,Monument,Monument,United Daughters of the Confederacy,1911,,Live,,
Greenhowe Drive,Rose O'Neal Greenhow,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hood Drive,John Bell Hood,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Drive,James Ewell Brown Jeb Stuart,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Joe Wheeler Drive,Joseph Wheeler,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
John D. Barry Drive,John D. Barry,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
John S. Mosby Drive,John Singleton Mosby,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
To The Memory of A.P. Hill,A.P. Hill,Petersburg,Petersburg City,VA,South,Monument,Monument,Sons of Confederate Veterans,,,Live,,
Monument to Confederate Women,No specific honoree,Little Rock,Pulaski,AR,South,Monument,Government Office Grounds,United Confederate Veterans,1913,,Live,,
Pickett Drive,George Pickett,Little Rock,Pulaski,AR,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E Lee Day,Robert E. Lee,Little Rock,Pulaski,AR,South,Holiday,Holiday,State of Arkansas,2017,,Live,,
Robert E. Lee School,Robert E. Lee,Little Rock,Pulaski,AR,South,School,Schools,Uknown,1906,2005,Live,,
Lonoke Confederate Monument,No specific honoree,Lonoke,Lonoke,AR,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1910,,Live,,
Robert E. Lee Street,Robert E. Lee,Malvern,Hot Spring,AR,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Robert E. Lee Monument,Robert E. Lee,Marianna,Lee,AR,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
Lee County,Robert E. Lee,Marianna,Lee,AR,South,County/Municipality,County/Municipality,Uknown,1873,,Live,,
Rabun County Confederate Monument,No specific honoree,Clayton,Rabun,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1999,,Live,,
Bleckley County Confederate Monument,No specific honoree,Cochran,Bleckley,GA,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
Broadway Confederate Monument,No specific honoree,Columbus,Muscogee,GA,South,Monument,Monument,Memorial Association,1879,,Live,,
Muscogee County Confederate Monument,No specific honoree,Columbus,Muscogee,GA,South,Monument,Monument,Ladies Memorial Association,1879,,Live,,
Robert E. Lee Drive,Robert E. Lee,Columbus,Muscogee,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Tyler Home Ladies Aid Society,No specific honoree,Columbus,Muscogee,GA,South,Monument,Monument,United Daughters of the Confederacy,1936,,Live,,
J.E.B. Stuart #861 UDC Bench,James Ewell Brown Jeb Stuart,Commerce,Jackson,GA,South,Monument,Monument,United Daughters of the Confederacy,,,Live,,
Confederate Monument,No specific honoree,Conyers,Rockdale,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1913,,Live,,
Crisp County Confederate Monument,No specific honoree,Cordele,Crisp,GA,South,Monument,Monument,United Daughters of the Confederacy,1911,,Live,,
Confederate War Memorial,No specific honoree,Covington,Newton,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1906,,Live,,
Van Dorn Street,Earl Van Dorn,Alexandria,Alexandria,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Wheeler Avenue,Joseph Wheeler,Alexandria,Alexandria,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Amelia,Amelia,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1905,,Live,,
Amherst County Confederate Monument,No specific honoree,Amherst,Amherst,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1922,,Live,,
Confederate Monument,No specific honoree,Bedford,Bedford,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; United Confederate Veterans,1935,,Live,,
Confederate Monument,No specific honoree,Berryville,Clarke,VA,South,Monument,Courthouse Grounds,Uknown,1900,,Live,,
Jeb Stuart Road,James Ewell Brown Jeb Stuart,Blackstone,Nottoway,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Elementary School,Jefferson Davis,Greenwood,Leflore,MS,South,School,Schools,Uknown,1907,,Live,,
Robert E. Lee Drive,Robert E. Lee,Greenwood,Leflore,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Grenada,Grenada,MS,South,Monument,Monument,Grenada County,1910,,Live,,
Confederate Monument,No specific honoree,Gulfport,Harrison,MS,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Board of Supervisors of Harrison County, Mississippi,1911,,Live,
Mississippi Gulf Coast Community College Jefferson Davis Campus,Jefferson Davis,Gulfport,Harrison,MS,South,College,Schools,Uknown,1965,,Live,,
Bedford Forrest Road,Nathan Bedford Forrest,Hattiesburg,Forrest,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Forrest County,Nathan Bedford Forrest,Hattiesburg,Forrest,MS,South,County/Municipality,County/Municipality,Uknown,1908,,Live,,
Forrest County Confederate Memorial,Nathan Bedford Forrest,Hattiesburg,Forrest,MS,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
North Forrest Elementary School,Nathan Bedford Forrest,Hattiesburg,Forrest,MS,South,School,Schools,Uknown,,,Live,,
North Forrest High School,Nathan Bedford Forrest,Hattiesburg,Forrest,MS,South,School,Schools,Uknown,,,Live,,
Joseph E. Johnston Road,Joseph Eggleston Johnston,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Kirby Smith Road,Edmund Kirby Smith,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Magruder Road,John B. Magruder,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Pemberton Road,John C. Pemberton,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Pickett Road,George Pickett,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Road,Robert E. Lee,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
S Van Dorn,Earl Van Dorn,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Natchez,Adams,MS,South,Monument,Monument,Confederate Memorial Association of Natchez County, Mississippi; Confederate Memorial Association of Adams County, Mississippi,1890,,Live
Robert E. Lee Drive,Robert E. Lee,New Albany,Union,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Our Confederate Dead Confederate Memorial,No specific honoree,Okolona,Chickasaw,MS,South,Monument,Monument,United Daughters of the Confederacy,1905,,Live,,
Confederate Monument,No specific honoree,Fort Craig,Socorro,NM,Not Applicable,Monument,Monument,United Daughters of the Confederacy,1936,,Live,,
Jeff Davis Peak,Jefferson Davis,Snake Range Mountains,White Pine,NV,North,Other,Parks/Trails,Lieutenant Colonel Edward Steptoe, U.S. Army Corps of Topographical Engineers,1855,,Live,
General Lee Avenue,Robert E. Lee,Brooklyn,Kings,NY,North,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Drive,Thomas Jonathan Stonewall Jackson,Brooklyn,Kings,NY,North,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Barracks at West Point,Robert E. Lee,West Point,Orange,NY,North,Building,Buildings,U.S. Army,1962,,Live,,
Jeff Davis Road,Jefferson Davis,Leakesville,Greene,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Lexington,Holmes,MS,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; United Confederate Veterans,1908,,Live,,
Robert E. Lee Street,Robert E. Lee,Lexington,Holmes,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Liberty,Amite,MS,South,Monument,Monument,Historical Association; Amite County Monument,1871,,Live,,
Jeff Davis Avenue,Jefferson Davis,Long Beach,Harrison,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Louisville,Winston,MS,South,Monument,Monument,J.P. Cagle; citizens of Winston County,1921,,Live,,
Robert E. Lee Road,Robert E. Lee,Lucedale,George,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Memorial Monument,No specific honoree,Macon,Noxubee,MS,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1901,,Live,,
Confederate Monument,No specific honoree,Meridian,Lauderdale,MS,South,Monument,Courthouse Grounds,Lauderdale County,1912,,Live,,
Jeff Davis School Road,Jefferson Davis,Meridian,Lauderdale,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Campground,Thomas Jonathan Stonewall Jackson,Holliday,Archer,TX,South,Park,Parks/Trails,Uknown,,,Live,,
